,name,address,lat,lon,10pm_cd,11pm_cd,12am_cd,1am_cd,2am_cd
117,Crazy Horse,"400 Orchard Rd, Singapore 238875",1.3068583,103.8289283,,,,,
118,Dbl O,"222 Queen St, Singapore 188550",1.2977658,103.8517205,,,,,
119,Bollywood Beats,"79 Circular Rd, #02-01, Singapore 049433",1.286959,103.848912,,,,,
120,D'Underground Bar & Club,"360 Orchard Rd, #B1-00 International Building, Singapore 238869",1.3060002,103.8308706,,,,,
121,Club Exclusive,"2 Havelock Rd, Singapore 059763",1.2870552,103.8451178,,,,,
122,AVENUE Singapore,"2 Bayfront Avenue, Basement 3, The Shoppes at Marina Bay Sands entrance via level 1, behind Sands Theatre Bus Stop, Singapore 018972",1.2853341,103.8604331,,,,,
123,Tantric Bar,"80A Neil Rd, Singapore 088842",1.2797555,103.8423279,,,,,
124,Drip Singapore,"100 Orchard Rd, Singapore 238840",1.3008695,103.84273,65,95,100,95,80
125,Bar'n,"77 South Bridge Rd, Singapore 058707",1.2866987,103.8480858,,,,,
126,Luxe Singapore,"7 Raffles Blvd, Marina Square, Singapore 039595",1.2919681,103.8587186,,,,,
127,Long Bar,"1 Beach Rd, Singapore 189673",1.2954411,103.8538607,,,,,
128,DesiClub - Bollywood Indian Dance,"29 Circular Rd, #01-01, Singapore 049385",1.2869222,103.8491222,,,,,
129,Mirage Deluxe KTV & Nightclub,"304 Orchard Rd, Lucky Plaza, Singapore 238841",1.3014945,103.8384907,,,,,
130,Ipanema World Music Bar,"139 Cecil St, #12-01 YSY Building, Singapore 069539",1.2795422,103.8484516,55,65,45,30,15
131,Club 91,"3 Coleman St, Singapore 179804",1.2918963,103.8501071,60,60,40,25,25
132,Phuture,"3C River Valley Road, Clarke Quay, #01-06 The Cannery @, Singapore 179022",1.2906588,103.845653,,,,,
133,KSP Pub,241 Jln Besar Singapore 208914,1.3097333,103.8579304,75,100,90,80,55
134,Fusion 8 Ktv,"150 South Bridge Rd, B1-32 Fook Hai Building, Singapore 058727",1.285089,103.8463158,,,,,
